Python架构师,绿米,20000-35000元,深圳,5-10年,本科,"工作职责：
. 规划公司IT系统技术架构，应对公司飞速发展的业务量和需求；参与需求分析，主导整体架构设计工作（分布式部署，负载均衡等），提供高可用的系统；
. 优化现有IT系统的底层框架，解决框架中的关键问题和技术难题，提高业务开发工程师的效率；
. 主导核心框架代码编写、指导和培训业务开发工程师、不断进行系统优化，共同建设技术体系；
. 性能优化：构建系统的性能监控和日志分析系统，持续优化各部分（前端，框架，数据库等）的性能；
. 稳定性提高：提高系统整体的稳定性；
. 日常Review业务功能代码，把控代码质量；
. 积极了解业界相关新技术及发展趋势，加强完善平台架构与功能；
任职要求：
- 计算机相关专业本科以上学历；
- 扎实的编程基础，熟练使用至少一门面向对象语言(Python/Java/….)，精通Python，7-8年以上开发经验、3年以上专职Python开发经验，精通主流web框架：Flask，Django等。
- 熟悉基于Python代码的性能分析和优化，熟悉多线程编程；
- 熟悉数据库事务和锁机制，有基于关系型数据库开发大型应用的开发和优化经验；有数据库读写分离经验，有基于PostgreSQL开发经验者优先；熟悉Redis数据库；
- 具有较好的英文听说读写能力；能够和国外的开发社区沟通交流；
- 具备优秀的编程习惯，具备较强的研发与设计能力，有代码洁癖者优先；
- 具备缜密的逻辑思维，具备优秀的分析、解决问题的能力；有技术管理经验者优先；
- 技术视野开阔，具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力；
加分项: 
- 有参与成熟框架的开发和优化的经验和项目案例更佳；
- 拥有与开源社区的工作经验更佳；
- 能提供github或者Stack Overflow账号更佳；
                            
首批小米生态链；
美籍华人创立；
团队人员300+；
B+轮数千万美金已完成；
工程师文化 ；
扁平管理，为目标服务；
智能家居领域产品服务位居行业前列；"
Python开发,软通动力信息技术集团,10000-20000元,深圳,3-5年,本科,"1.本科及以上学历，3年以上工作经验。
2.熟练使用python语言。
3.熟悉python的常用数据结构和算法，熟悉python的多进程、多线程和协程的实现方式。
4.熟悉Linux环境及常用shell命令。
5.熟悉至少一种关系数据库如MySQL、Oracle等，了解mongodb、redis等NoSQL。
6.具备良好的逻辑思维能力，独立分析和解析问题的能力。
7.强烈的责任心与主动性，能自我驱动成长。
以下是加分项：
1.熟悉pandas、numpy包。
2.阅读过python解释器源码。
3.熟悉面向对象OO的设计思想及设计模式。
4.熟悉docker容器化部署。"
Python,绛门科技,6000-12000元,深圳,1-3年,本科,"岗位要求：
1、本科及以上学历，2年以上Python/Java使用经验。
2、熟悉Flask/Django/Tornado等常见Python Web框架之一，注意代码质量和可维护性。
3、熟悉Postgresql/Elasticsearch/Linux/Nginx/Redis等技术生态，熟悉数据库知识。
4、良好的逻辑思维能力和沟通能力，具有很强的问题分析和解决能力，对解决具有挑战性的问题充满激情。"
Python开发,雁联技术,11000-12000元,深圳,3-5年,大专,"熟练Linux操作系统，并有Linux系统下的开发经验
具有扎实的编程基础，熟悉python语言
熟悉至少一种数据库理论，例:MYSQL、redis
熟悉至少一种前端框架
有爬虫开发经验者优先"
python工程师,雁联技术,8000-15000元,深圳,1-3年,本科,"1、负责设计和开发分布式网络爬虫系统，进行电商等平台信息的抓取和分析；
2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；
3、 爬虫逻辑的开发，快速响应业务变动
1、具有1-2年爬虫开发经验，精通python，熟练使用多线程，熟悉常用的爬虫框架；
2、对数据结构和算法设计有较为深刻的理解，具有良好的沟通能力和团队合作意识;
3、熟悉正则表达式，Jsoup、XPATH，CSS选择器，能够从结构化和非机构化的数据中获取信息,了解各种Web前端技术，包括HTML／XML／JavaScript／AJAX／JSON等;
4、拥抱新技术，有很强的学习能力；
5、懂其他技术点加分。
6、有主流电商平台数据爬取经验优先
外派平安总行和科技，
                            
期待您的加入~喵喵~
一群细心耐心的招聘姐姐"
Python,UCVR,25000-40000元,深圳,5-10年,本科,"主持系统和应用软件层面的各项研发工作。
管理研发团队（算了，不啰嗦了，就是做好了来做cto，搭架构，定方案，带队伍）"
Python,途灵旅行,8000-16000元,深圳,1-3年,大专,"1.完成基于go/redis/mysql等技术的服务器端API开发，使之能支撑
十万用户级的企业应用。
2.负责项目的设计、编码、调优、测试及Bug处理
3.负责产品服务端开发，不断进行产品演进，提高产品质量和用户体验；
4.根据产品需求，写出良好的解决方案。
岗位要求：
1、计算机相关专业本科以上学历，1年以上相关工作经验； 
2、了解算法、数据结构、TCP/IP网络通讯原理；
3、熟悉 Go /Java / Python/C++任一种开发语言及其常用 
4、熟练使用django,flask，tornado至少两种。两年以上开发经验。
5、有nginx / mysql的使用经验；
6、良好的英文文档阅读能力，良好的团队沟通和协作能力。
7、强烈的责任心，有良好的沟通和团队意识； 
8、有微服务架构经验优先；"
python讲师,泽林信息,18000-30000元,深圳,3-5年,本科,"1、3年以上Python编程经验；
2、精通Python全栈开发，精通Django Web框架；
3、深刻理解计算机原理，有良好的数据结构和算法基础；
4、熟悉面向对象程序设计方法；
5、熟练数据库表设计、SQL语法，熟练MySQL数据库；
6、熟练web前端技能, 包括html/css/javascript/jquery/boostrap；
7、熟练Linux环境开发，熟练使用SHELL命令和脚本语言；
8、熟练基于Linux应用程序的管理和配置，如Docker、Redis、GitLab、Ansible、Nginx、Zabbix、Jenkins等；
9、有Python网络爬虫相关开发经验优先；
10、具备大型网站或高并发系统开发、设计工作经验者优先。"
Python开发,软通动力,13000-26000元,深圳,3-5年,本科,"项目名称：华为大脑（人工智能方向）
任职要求：
1、熟悉Python语言，能够熟练使用python的web框架设计网站，例如django等。
2、熟悉常用爬虫框架，如Scrapy框架。熟练使用Scrapy框架以及scrapy-redis分布式等
3、有过分布式任务调度管理(celery)的经验，可熟练编写高并发程序。
4、熟悉多线程、多进程和协程网络通信编程相关知识以及HTTP/HTTPS协议，TCP/IP等网络协议; 
5、熟悉Linux/Unix类开发环境，熟悉其常用命令的使用; 熟悉MySQL， Redis， MongoDB
6、数据分析: 熟悉python数据分析相关模块numpy,pandas以及matplotlib; 
8、了解Django，FlaskWeb; 
其他要求：
1、3年以上相关工作经验，本科及以上学历
2、具有良好的工作态度和职业道德
3、具有较强的表达能力，能主动沟通、并进行团队协作
4、工作主动性强，能承受一定的工作压力
5、具备较强的安全意识和一定安全风险控制能力
6、有较强的逻辑思维能力，对技术有强烈的兴趣，具有良好的学习能力；"
Python爬虫,深圳雁联,10000-15000元,深圳,3-5年,本科,1.计算机相关专业本科以上学历，3年以上python或者web开发工作经验； 2.具有良好的编码规范，深刻理解面向对象设计和编程思想； 3.Python基础扎实，熟悉常用的类库； 4.掌握Tornado、Django、Flask其中任一web框架，至少两年左右的web开发经验； 5.熟悉常用的工具如Redis，Memcached，Mongodb，Mysql，Nginx等的基本原理和使用； 6.掌握linux环境下的开发和部署，掌握gitlab的使用； 7.加分项：爬虫开发经验、前端开发经验。
